session_id,mid_category,result_label,Profane,honorific_ratio,positive_word_ratio,negative_word_ratio,euphonious_word_ratio,empathy_ratio,apology_ratio,suggestions,customer_sentiment_early,customer_sentiment_late,customer_sentiment_trend,avg_response_latency,interruption_count,silence_ratio,talk_ratio
40527,기술지원,만족,1,65.7,11.8,7.3,9.9,23.8,3.3,1.0,0.4,0.67,0.47,1.73,2,0.35,0.8
40528,서비스불만,미흡,0,62.8,17.5,0.2,4.1,4.5,2.7,0.2,-0.12,0.83,0.31,2.54,1,0.13,0.66
40529,멤버십,미흡,0,68.6,16.5,5.7,5.7,16.6,0.9,1.0,0.05,0.23,0.1,0.58,1,0.16,0.74
40530,요금문의,만족,0,87.8,5.3,0.8,4.5,0.6,0.9,0.0,0.27,0.39,-0.29,0.66,1,0.26,0.55
40531,해약문의,추가 상담 필요,1,89.2,8.8,0.6,5.7,14.7,1.6,0.2,0.18,0.34,0.08,1.49,0,0.12,0.64
40532,기술지원,해결 불가,0,78.5,7.5,2.3,6.9,25.3,0.1,0.6,0.4,0.51,0.6,1.28,0,0.4,0.55
40533,요금문의,추가 상담 필요,0,86.6,15.7,6.7,11.0,14.2,1.5,0.0,0.02,-0.11,0.03,0.52,1,0.15,0.78
40534,장비고장,만족,0,84.6,9.2,1.8,6.2,8.9,3.3,0.2,0.01,0.65,0.11,0.95,1,0.24,0.64
40535,요금문의,추가 상담 필요,0,68.2,8.9,7.8,6.5,8.2,2.7,0.2,0.62,-0.0,-0.1,1.83,3,0.42,0.76
40536,업그레이드,해결 불가,1,58.2,12.4,3.6,4.7,11.8,3.0,1.0,0.31,0.61,0.13,2.93,1,0.2,0.65
40537,서비스불만,해결 불가,0,77.9,6.3,4.5,9.4,27.4,4.3,0.2,0.06,0.81,0.16,3.03,3,0.28,0.43
40538,기술지원,미흡,0,74.5,15.6,7.8,6.2,29.2,3.8,0.2,0.32,0.49,0.25,2.63,0,0.32,0.52
40539,환불,만족,0,67.7,18.8,4.8,6.4,22.5,1.4,0.2,0.87,0.45,-0.03,2.78,2,0.22,0.64
40540,기술지원,해결 불가,1,62.9,8.3,5.3,7.5,29.6,4.5,0.2,0.14,0.45,-0.16,3.03,2,0.15,0.77
40541,부가서비스,해결 불가,0,69.2,17.8,7.8,9.9,22.9,4.6,0.0,-0.13,0.44,0.78,1.85,0,0.26,0.66
40542,장비고장,추가 상담 필요,0,71.4,6.5,7.0,8.2,8.5,2.9,0.6,0.6,0.58,0.21,2.1,3,0.37,0.54
40543,가입절차,미흡,0,64.4,11.9,1.6,8.9,13.1,1.0,1.0,0.91,0.78,-0.09,1.07,1,0.21,0.66
40544,기술지원,해결 불가,0,65.2,9.3,5.4,8.5,21.7,3.3,0.0,0.7,0.7,0.11,2.25,3,0.33,0.65
40545,부가서비스,추가 상담 필요,0,71.0,17.9,4.5,10.1,21.3,4.4,0.0,-0.08,0.96,0.3,2.99,1,0.15,0.79
40546,해약문의,해결 불가,0,85.1,6.8,6.7,9.7,20.3,0.6,1.0,-0.3,0.54,0.48,1.21,3,0.21,0.64
40547,환불,해결 불가,1,75.5,19.3,0.7,3.4,14.6,2.5,1.0,0.69,0.36,0.25,2.95,0,0.43,0.4
40548,멤버십,미흡,0,64.9,17.5,4.7,5.8,4.3,0.2,0.2,0.26,0.37,0.07,0.96,0,0.08,0.79
40549,환불,미흡,0,64.7,5.9,6.0,9.6,28.8,4.5,0.2,0.47,0.14,0.31,3.33,2,0.42,0.46
40550,업그레이드,만족,0,70.9,11.6,3.6,8.0,6.6,4.6,0.0,0.26,0.4,-0.24,2.95,0,0.07,0.54
40551,기술지원,미흡,0,62.2,8.4,4.1,7.3,29.4,3.4,0.6,0.82,0.34,-0.11,3.05,2,0.37,0.79
40552,가입절차,추가 상담 필요,0,62.0,10.5,7.5,9.8,3.8,0.7,0.6,0.33,1.0,0.53,1.76,2,0.2,0.67
40553,업그레이드,해결 불가,0,73.0,14.2,0.7,9.5,29.4,2.2,0.2,0.22,0.68,0.23,3.42,3,0.33,0.67
40554,서비스불만,미흡,0,58.1,11.4,5.7,6.6,11.3,0.8,0.0,0.35,1.0,0.15,0.74,1,0.14,0.57
40555,업그레이드,추가 상담 필요,1,71.9,14.0,1.9,4.4,24.3,0.6,1.0,-0.05,-0.05,-0.02,1.61,2,0.12,0.56
40556,요금문의,미흡,0,67.7,8.5,6.7,9.3,0.2,3.8,0.0,0.36,0.61,-0.17,2.25,2,0.09,0.52
40557,부가서비스,추가 상담 필요,0,79.8,11.9,6.0,8.6,13.4,0.8,0.6,0.28,0.83,0.24,0.67,3,0.05,0.7
40558,요금문의,해결 불가,0,81.1,19.6,3.1,11.4,7.5,3.0,0.2,-0.33,0.62,0.18,1.46,2,0.2,0.55
40559,업그레이드,해결 불가,0,79.2,19.0,7.2,3.1,20.8,4.0,0.6,-0.03,0.39,0.67,0.53,0,0.07,0.45
40560,멤버십,추가 상담 필요,0,79.1,18.7,3.6,5.5,19.9,2.7,0.0,-0.07,0.58,-0.08,1.37,1,0.16,0.48
40561,업그레이드,추가 상담 필요,0,68.1,13.3,0.3,5.7,13.9,0.9,0.0,-0.16,0.56,0.17,2.48,3,0.4,0.46
40562,업그레이드,미흡,1,78.4,10.9,2.0,5.1,21.2,0.2,1.0,0.41,0.57,0.06,2.63,3,0.33,0.76
40563,해약문의,미흡,0,66.9,14.4,2.6,6.0,29.3,3.0,0.2,0.64,0.61,-0.09,3.01,1,0.22,0.51
40564,장비고장,만족,0,75.0,11.8,1.0,11.9,2.8,2.7,0.6,0.4,0.81,0.7,2.23,2,0.06,0.49
40565,환불,해결 불가,0,66.4,8.0,4.9,9.0,16.9,2.6,0.2,-0.14,0.6,0.57,2.76,0,0.07,0.66
40566,가입절차,추가 상담 필요,0,70.6,10.6,7.5,5.9,20.3,1.3,0.0,-0.23,0.61,0.21,2.94,1,0.45,0.52
40567,업그레이드,해결 불가,0,57.2,5.7,5.4,11.2,19.0,4.5,1.0,0.54,0.53,-0.24,2.69,2,0.23,0.72
40568,해약문의,해결 불가,0,63.5,16.8,7.7,8.2,7.9,2.6,0.2,0.21,0.67,0.26,1.57,0,0.29,0.67
40569,해약문의,만족,0,89.0,5.6,4.4,6.9,26.2,1.3,1.0,0.27,0.32,0.31,0.89,1,0.35,0.64
40570,서비스불만,추가 상담 필요,0,63.1,5.2,2.6,11.9,7.4,3.6,0.6,-0.09,0.7,-0.01,1.42,2,0.3,0.59
40571,서비스불만,만족,0,79.2,5.6,6.1,3.2,25.3,0.6,1.0,-0.31,0.44,-0.3,2.12,3,0.35,0.55
40572,기술지원,해결 불가,1,77.8,17.8,0.4,8.6,14.1,3.2,0.6,0.96,0.79,0.69,2.77,0,0.27,0.58
40573,기술지원,만족,0,80.3,10.7,2.0,7.3,4.3,1.2,0.6,0.12,0.36,-0.24,1.9,0,0.25,0.68
40574,환불,해결 불가,0,71.6,17.3,4.1,5.3,24.7,0.7,0.6,0.24,0.52,0.48,2.2,1,0.23,0.42
40575,업그레이드,추가 상담 필요,0,75.9,8.9,6.2,3.5,2.3,1.4,1.0,-0.05,0.48,-0.03,3.41,1,0.41,0.49
40576,멤버십,추가 상담 필요,0,57.3,19.3,5.6,7.0,23.8,2.4,0.6,0.76,0.23,0.05,1.36,0,0.44,0.68
40577,환불,추가 상담 필요,0,57.5,18.4,0.7,3.4,18.0,1.6,1.0,0.19,0.85,0.46,2.58,1,0.2,0.68
40578,멤버십,추가 상담 필요,0,62.0,13.8,8.0,5.9,26.3,3.2,0.0,0.25,0.65,-0.17,3.11,0,0.13,0.63
40579,기술지원,해결 불가,0,60.3,9.6,0.3,12.0,24.1,4.8,0.2,0.31,0.55,0.07,3.08,2,0.42,0.5
40580,요금문의,만족,0,58.5,10.4,1.1,8.8,12.1,3.0,0.2,0.29,0.9,0.15,1.04,1,0.16,0.49
40581,장비고장,만족,0,59.5,18.4,4.0,3.2,4.1,4.5,0.6,0.72,0.44,0.51,0.7,2,0.34,0.61
40582,부가서비스,추가 상담 필요,1,74.4,12.2,5.7,8.7,8.0,2.8,0.0,-0.25,0.53,0.46,2.18,0,0.14,0.51
40583,가입절차,만족,0,61.6,5.6,2.5,9.4,0.0,0.2,0.6,0.48,0.87,0.21,0.76,2,0.29,0.7
40584,멤버십,해결 불가,1,88.3,5.7,4.6,8.9,19.6,0.3,0.0,0.11,1.0,-0.2,1.72,2,0.18,0.71
40585,장비고장,추가 상담 필요,1,78.9,6.0,4.0,7.1,2.6,4.4,0.6,0.17,0.56,0.52,2.95,2,0.07,0.69
40586,업그레이드,추가 상담 필요,0,73.9,9.6,5.0,10.8,5.4,0.5,1.0,0.11,1.0,0.04,1.02,2,0.06,0.65
40587,서비스불만,만족,0,79.8,14.6,2.1,8.2,7.3,2.7,1.0,0.42,0.59,0.25,3.49,1,0.17,0.76
40588,기술지원,만족,0,64.2,15.3,7.6,4.4,12.2,0.2,0.0,-0.09,0.3,-0.38,0.96,3,0.24,0.62
40589,해약문의,만족,0,87.4,14.9,6.3,4.5,20.6,4.5,0.6,0.13,0.69,0.12,1.4,0,0.23,0.51
40590,부가서비스,추가 상담 필요,0,84.4,12.5,0.2,5.5,13.3,1.7,0.6,0.46,0.91,0.32,2.29,2,0.23,0.5
40591,환불,해결 불가,0,80.4,5.4,0.4,11.0,15.1,2.4,0.6,0.12,0.6,0.06,1.57,1,0.25,0.44
40592,가입절차,추가 상담 필요,0,71.8,9.2,6.0,10.0,2.8,0.9,1.0,0.15,0.68,0.35,1.84,3,0.1,0.65
40593,멤버십,해결 불가,0,84.5,15.9,3.0,9.4,10.1,3.0,1.0,0.4,0.21,0.55,2.95,0,0.31,0.71
40594,부가서비스,해결 불가,0,81.1,6.5,7.7,7.4,6.2,2.7,1.0,0.32,-0.14,0.63,2.0,3,0.36,0.64
40595,해약문의,추가 상담 필요,0,78.1,15.5,2.4,3.6,22.2,1.6,0.2,0.19,0.61,0.01,0.96,3,0.23,0.45
40596,해약문의,해결 불가,0,87.0,7.9,3.1,9.6,0.5,3.3,1.0,0.31,0.1,-0.28,1.64,2,0.24,0.68
40597,환불,만족,1,77.2,11.7,1.8,10.9,18.5,3.9,0.6,0.02,0.5,-0.55,1.64,2,0.1,0.7
40598,장비고장,해결 불가,0,67.8,18.0,4.7,3.5,20.9,1.6,0.6,0.55,0.32,0.07,1.15,2,0.06,0.55
40599,서비스불만,만족,0,74.3,13.3,1.8,10.3,15.1,1.1,0.0,-0.04,0.56,-0.31,2.52,2,0.15,0.62
40600,기술지원,해결 불가,0,61.9,8.3,6.3,9.9,1.3,1.5,0.6,-0.19,0.77,0.3,1.65,3,0.22,0.43
40601,장비고장,추가 상담 필요,0,61.7,19.1,7.4,12.0,7.5,3.0,0.2,0.42,0.01,-0.45,0.68,2,0.09,0.64
40602,가입절차,해결 불가,0,80.4,9.6,1.1,4.5,7.1,4.7,0.2,-0.11,0.46,0.48,2.43,3,0.19,0.41
40603,장비고장,해결 불가,0,82.5,13.7,3.0,10.9,8.0,4.4,0.0,0.0,0.46,0.18,2.94,3,0.24,0.54
40604,장비고장,만족,1,89.0,7.7,7.6,5.7,7.9,2.0,1.0,0.22,0.9,-0.3,2.44,1,0.27,0.72
40605,업그레이드,만족,0,84.8,16.6,0.8,5.2,29.2,2.1,0.0,0.5,0.52,0.25,2.78,3,0.34,0.65
40606,환불,미흡,1,74.0,8.9,7.8,6.2,23.7,2.2,0.2,0.14,0.25,0.33,2.59,0,0.26,0.55
40607,업그레이드,해결 불가,0,58.1,5.4,1.4,10.4,26.7,4.7,0.2,0.15,0.33,0.33,2.79,2,0.12,0.77
40608,부가서비스,해결 불가,0,72.1,14.8,1.9,5.8,21.4,0.7,0.2,0.16,1.0,0.16,1.84,3,0.17,0.65
40609,업그레이드,추가 상담 필요,0,87.5,19.1,6.5,6.0,10.4,1.9,0.0,0.4,0.23,0.34,3.21,3,0.22,0.77
40610,환불,추가 상담 필요,0,82.6,13.8,5.8,6.9,28.3,2.9,0.6,0.13,0.51,0.32,1.88,1,0.27,0.6
40611,서비스불만,만족,0,72.0,12.0,2.7,9.4,14.5,1.0,1.0,0.36,0.58,0.06,0.74,1,0.22,0.66
40612,기술지원,미흡,1,70.9,16.3,5.1,4.6,5.6,1.7,0.6,0.69,0.16,0.19,0.9,0,0.21,0.66
40613,멤버십,해결 불가,0,62.6,6.3,3.5,8.8,21.9,0.8,0.2,0.21,0.25,-0.22,2.02,1,0.41,0.42
40614,환불,해결 불가,0,61.2,14.2,0.2,11.3,7.8,2.0,0.6,0.17,-0.09,0.39,1.21,0,0.32,0.46
40615,장비고장,해결 불가,0,57.6,5.3,3.8,11.2,24.7,4.6,1.0,0.0,0.23,-0.22,0.9,2,0.42,0.45
40616,부가서비스,만족,0,86.2,7.4,6.5,8.9,22.2,2.0,0.2,0.05,0.69,0.11,1.16,3,0.12,0.48
40617,기술지원,만족,0,77.4,8.0,3.6,8.6,8.7,0.6,1.0,-0.09,0.56,-0.19,1.48,3,0.32,0.79
40618,요금문의,만족,0,60.0,12.6,2.4,9.8,13.8,4.0,0.0,-0.05,-0.07,0.43,3.18,2,0.24,0.67
40619,요금문의,미흡,0,69.5,16.6,4.4,9.2,21.5,4.7,0.6,0.11,0.93,0.21,0.97,1,0.18,0.69
40620,업그레이드,추가 상담 필요,0,56.7,11.7,3.3,6.4,20.0,4.4,0.0,0.38,0.1,-0.15,2.83,2,0.07,0.77
40621,장비고장,해결 불가,0,62.3,5.3,7.9,5.5,15.8,3.5,0.2,0.42,0.21,0.23,0.71,1,0.41,0.47
40622,해약문의,만족,0,80.6,12.7,0.5,9.3,6.4,1.2,0.2,0.15,0.98,0.09,2.99,2,0.05,0.7
40623,멤버십,추가 상담 필요,0,77.8,7.4,7.6,6.6,9.7,2.4,0.6,0.38,0.64,0.35,0.94,0,0.38,0.61
40624,가입절차,미흡,0,71.8,9.9,3.8,5.3,20.8,2.4,0.2,-0.11,0.48,0.16,2.52,2,0.2,0.55
40625,요금문의,만족,0,64.6,8.9,3.9,3.2,13.7,1.0,1.0,0.9,0.95,0.14,1.26,2,0.39,0.7
40626,멤버십,만족,0,77.8,17.8,3.4,10.5,21.5,0.1,0.0,1.0,0.48,0.08,3.0,3,0.06,0.72
40627,기술지원,추가 상담 필요,0,88.5,15.2,3.7,8.2,20.5,0.6,0.2,0.24,0.6,-0.33,2.74,2,0.07,0.64
40628,가입절차,추가 상담 필요,0,70.2,11.3,1.1,9.1,10.7,1.4,1.0,0.43,0.33,0.29,0.84,2,0.21,0.67
40629,기술지원,해결 불가,0,57.5,13.8,2.2,7.5,3.0,3.5,0.2,0.31,0.46,0.37,1.6,2,0.3,0.74
40630,환불,해결 불가,0,57.0,17.9,5.5,6.3,20.4,3.7,0.0,0.51,0.48,-0.14,2.59,2,0.31,0.54
40631,기술지원,추가 상담 필요,1,57.9,16.2,3.6,4.7,10.7,4.5,0.2,0.09,0.83,0.3,1.75,0,0.17,0.73
40632,기술지원,미흡,0,88.6,10.6,6.5,10.4,16.9,0.6,0.0,-0.18,0.31,0.49,1.3,0,0.31,0.59
40633,업그레이드,해결 불가,0,73.9,12.5,2.1,6.2,3.7,2.1,0.2,0.52,0.44,0.42,0.89,0,0.21,0.77
40634,기술지원,추가 상담 필요,0,84.3,15.4,6.6,8.0,4.4,1.6,1.0,-0.05,-0.15,0.54,1.25,0,0.12,0.69
40635,업그레이드,추가 상담 필요,0,61.0,18.0,6.9,11.3,12.7,2.9,0.0,0.38,-0.01,0.42,3.28,2,0.1,0.65
40636,해약문의,만족,0,64.1,16.4,4.2,11.4,20.1,1.6,1.0,0.0,0.71,0.04,1.58,3,0.15,0.79
40637,기술지원,해결 불가,1,79.2,14.0,4.2,10.2,3.5,1.9,0.6,0.05,0.38,0.8,1.75,1,0.41,0.6
40638,요금문의,해결 불가,0,86.3,16.2,3.4,11.0,23.2,0.8,0.6,0.57,0.39,0.19,2.28,0,0.16,0.49
40639,멤버십,추가 상담 필요,0,66.9,8.2,6.7,9.8,25.5,4.9,0.2,0.76,0.68,-0.0,3.4,1,0.27,0.61
40640,멤버십,추가 상담 필요,1,57.3,18.2,5.6,11.6,20.2,1.1,1.0,0.23,0.4,0.6,3.38,3,0.11,0.55
40641,장비고장,추가 상담 필요,0,85.2,16.3,1.5,11.9,22.5,4.0,0.2,0.15,0.53,-0.03,3.5,1,0.44,0.79
40642,요금문의,만족,1,65.2,6.9,6.2,11.4,7.2,2.2,1.0,0.37,0.41,0.43,0.74,3,0.41,0.47
40643,기술지원,추가 상담 필요,0,80.9,6.9,1.5,3.4,3.0,0.0,0.6,0.12,-0.11,-0.05,1.34,3,0.12,0.65
40644,서비스불만,추가 상담 필요,0,60.5,17.1,3.4,5.2,9.9,1.9,0.0,-0.24,0.68,0.53,3.1,2,0.14,0.62
40645,부가서비스,해결 불가,0,79.3,11.3,7.1,11.6,3.8,1.0,0.2,0.27,0.94,0.57,1.67,3,0.4,0.45
40646,장비고장,해결 불가,0,84.4,20.0,5.8,5.0,12.5,3.3,0.0,-0.39,0.85,0.05,2.48,1,0.17,0.68
40647,가입절차,미흡,0,80.5,11.6,2.4,4.5,22.8,4.3,1.0,0.41,0.51,0.36,0.55,2,0.09,0.63
40648,멤버십,추가 상담 필요,0,67.6,6.7,2.6,10.0,8.4,4.7,0.0,0.13,0.57,0.4,3.0,1,0.29,0.57
40649,환불,미흡,0,80.4,14.7,2.2,5.4,25.7,4.3,1.0,0.34,0.61,0.17,3.19,1,0.11,0.78
40650,부가서비스,미흡,0,59.9,5.8,0.9,9.1,13.6,2.7,0.0,-0.16,0.94,0.34,1.42,1,0.08,0.44
40651,장비고장,해결 불가,0,66.0,5.1,7.0,4.6,4.9,1.9,0.2,0.05,0.85,0.16,1.77,1,0.3,0.65
40652,요금문의,만족,0,69.7,6.9,3.9,10.3,19.3,1.3,0.0,0.45,0.39,0.0,3.02,3,0.44,0.52
40653,장비고장,해결 불가,0,85.7,15.5,3.3,9.5,13.2,2.8,0.6,0.69,0.45,-0.1,2.24,2,0.13,0.6
40654,서비스불만,해결 불가,0,60.4,16.1,1.0,8.0,9.9,3.0,0.2,0.53,0.43,0.28,1.38,0,0.39,0.55
40655,기술지원,해결 불가,1,85.8,11.0,7.6,5.0,15.5,3.0,1.0,0.39,0.32,0.36,0.69,3,0.3,0.67
40656,기술지원,추가 상담 필요,1,83.0,13.7,3.0,5.2,29.7,4.9,0.2,-0.05,0.3,0.44,2.14,2,0.4,0.76
40657,해약문의,만족,1,89.0,19.3,4.6,4.3,22.6,0.4,0.0,0.45,0.45,0.34,2.15,2,0.18,0.43
40658,해약문의,만족,0,67.9,17.3,2.0,10.8,8.8,3.4,1.0,0.32,-0.23,0.4,3.49,1,0.19,0.59
40659,가입절차,미흡,0,62.2,10.5,2.4,4.4,27.8,2.9,1.0,0.18,0.59,0.1,2.58,1,0.28,0.69
40660,환불,만족,1,63.4,14.7,3.6,7.5,5.5,2.1,0.6,0.67,0.34,0.72,0.99,1,0.14,0.52
40661,가입절차,해결 불가,0,84.0,10.7,2.6,10.4,12.2,0.6,0.0,0.05,0.12,-0.03,2.89,0,0.17,0.53
40662,요금문의,해결 불가,0,88.8,19.5,5.9,6.0,11.2,2.6,0.2,0.81,0.42,0.43,1.99,3,0.1,0.78
40663,기술지원,해결 불가,0,79.5,7.9,0.5,9.9,29.6,1.3,0.6,0.08,0.25,0.16,1.13,2,0.39,0.44
40664,환불,만족,0,71.9,15.2,7.7,4.7,0.1,3.5,1.0,0.08,0.84,0.13,1.78,0,0.24,0.63
40665,해약문의,해결 불가,0,65.0,9.7,2.4,11.8,19.5,2.7,0.0,0.25,0.15,0.82,0.54,3,0.11,0.68
40666,해약문의,미흡,0,84.2,13.5,1.6,3.6,15.3,3.8,0.6,-0.12,0.5,0.37,1.94,2,0.41,0.67
40667,해약문의,해결 불가,0,85.5,9.8,1.5,7.1,4.7,1.1,0.0,0.14,0.58,-0.12,1.34,3,0.14,0.43
40668,요금문의,만족,0,58.2,15.3,7.0,7.6,19.3,2.7,0.0,0.3,0.23,0.33,2.39,1,0.07,0.78
40669,업그레이드,만족,0,62.6,12.0,4.9,7.6,24.2,4.1,0.0,-0.23,0.11,0.09,2.76,0,0.25,0.41
40670,장비고장,만족,1,84.1,14.4,6.2,5.6,23.0,2.7,1.0,0.03,0.59,0.77,1.46,1,0.31,0.41
40671,해약문의,추가 상담 필요,0,84.7,6.8,3.4,7.4,2.3,1.1,0.6,-0.14,0.36,-0.02,2.99,0,0.27,0.62
40672,부가서비스,미흡,0,66.0,8.0,0.9,11.0,23.9,4.2,0.0,0.15,0.2,0.24,2.15,1,0.32,0.43
40673,기술지원,만족,1,64.8,6.8,0.6,4.1,10.4,0.3,0.2,0.62,0.05,0.07,1.86,1,0.22,0.53
40674,장비고장,추가 상담 필요,0,70.1,5.7,7.9,7.0,25.6,3.7,0.0,0.15,0.66,0.05,2.98,2,0.38,0.72
40675,서비스불만,추가 상담 필요,0,73.9,15.9,3.5,3.2,16.9,4.2,1.0,0.22,0.92,0.43,0.8,1,0.3,0.62
40676,장비고장,해결 불가,0,58.3,5.4,3.1,8.3,2.4,4.1,0.0,0.35,0.32,0.55,2.29,1,0.13,0.63
40677,가입절차,만족,0,84.3,9.2,0.9,9.2,22.3,4.1,0.2,-0.06,0.63,0.59,2.23,0,0.41,0.77
40678,장비고장,만족,0,73.7,18.7,6.5,8.7,16.9,1.4,0.6,0.35,0.8,0.18,3.36,3,0.08,0.44
40679,가입절차,추가 상담 필요,0,82.1,19.6,7.7,6.5,13.5,3.8,0.6,0.12,0.77,0.05,0.87,2,0.2,0.8
40680,업그레이드,미흡,0,63.1,8.5,2.7,7.6,19.2,0.1,0.0,0.08,0.31,0.38,1.42,2,0.29,0.66
40681,요금문의,해결 불가,0,88.8,6.8,1.2,11.2,13.3,2.6,0.0,-0.24,0.64,0.11,2.31,3,0.44,0.68
40682,업그레이드,만족,0,81.3,9.5,5.1,7.6,1.1,4.7,0.6,0.09,0.68,0.68,3.36,3,0.19,0.41
40683,서비스불만,추가 상담 필요,1,67.0,18.1,1.4,9.8,27.4,0.1,1.0,0.59,1.0,-0.18,2.69,2,0.13,0.75
40684,업그레이드,만족,1,88.2,11.6,1.2,7.2,8.6,2.1,0.2,0.64,0.55,0.35,0.74,1,0.31,0.56
40685,요금문의,미흡,0,79.5,13.1,7.0,5.8,8.4,0.8,0.2,0.19,0.8,-0.14,1.2,3,0.38,0.56
40686,기술지원,미흡,0,84.4,5.7,6.2,6.6,1.5,0.6,1.0,0.3,0.73,-0.07,2.44,3,0.17,0.65
40687,멤버십,추가 상담 필요,0,56.6,8.7,7.5,5.8,21.5,0.7,0.6,0.15,0.68,-0.25,2.3,3,0.25,0.56
40688,요금문의,만족,0,56.9,7.0,1.7,10.2,27.3,2.0,1.0,-0.05,0.2,-0.17,3.47,3,0.34,0.78
40689,요금문의,미흡,0,81.0,16.9,6.8,11.0,13.9,1.5,1.0,-0.26,0.58,0.37,1.49,1,0.28,0.77
40690,요금문의,만족,0,65.7,18.3,3.0,10.7,24.4,0.7,0.2,0.79,0.94,0.0,0.96,2,0.4,0.55
40691,장비고장,만족,0,73.1,13.9,4.0,6.6,9.9,2.0,0.2,-0.02,0.39,-0.1,1.53,0,0.13,0.49
40692,요금문의,미흡,0,60.5,7.8,1.2,4.2,11.5,3.1,0.6,0.34,0.57,-0.15,2.37,3,0.39,0.56
40693,가입절차,해결 불가,0,89.2,18.1,1.5,6.6,8.8,2.9,0.2,0.74,0.27,-0.07,2.54,0,0.08,0.8
40694,부가서비스,해결 불가,0,72.6,7.6,1.5,4.3,8.8,0.4,0.6,0.17,0.58,0.08,2.9,1,0.18,0.52
40695,환불,추가 상담 필요,1,84.0,12.5,3.9,5.7,16.8,1.9,1.0,0.23,0.6,0.46,0.95,2,0.4,0.6
